District,Crop,Year,Rainfall_mm,Temperature_C,Humidity_pct,Soil_pH,Soil_Moisture_pct,Yield_t_ha
Vellore,Cotton,2022,939.2272123039261,31.087338356367432,48.033943344908465,6.901453486667509,29.754704385064336,6.992252549135805
Tirunelveli,Maize,2025,577.9230517363269,31.239346346141378,66.93540996620108,7.076665709887099,43.922453071282135,6.677891809393571
Chennai,Maize,2018,1149.204177274031,29.06045013925786,60.54796917501885,6.3392251557982044,26.75273054670697,7.439124625471008
Trichy,Maize,2024,875.5775834522151,26.040330919732753,78.79835578999679,6.869239341073316,38.80478610361301,6.946369639394826
Madurai,Rice,2024,417.73221331443716,26.533425216530055,46.1801631365314,6.304886235265442,45.96813990082691,6.1991199465129085
Erode,Rice,2020,837.1642854137576,28.910963408954874,70.91018799144292,8.011198186394516,25.76173388197174,6.063352064737198
Madurai,Rice,2023,920.3016139807262,23.801827004117186,89.21487264873947,6.2554247237282885,22.918524588405823,7.033184446986503
Chennai,Cotton,2019,1093.1980903589351,32.24891161962596,66.17153568482495,6.596385436925688,25.602846897566952,5.841706679365741
Vellore,Cotton,2024,765.6308992183459,33.440669083762685,67.97251909317957,6.23566643279429,51.35350225104235,6.069795281285672
Madurai,Rice,2023,1056.9845668618018,27.244944480511133,72.26346769971491,6.139814623405305,29.51623622342964,8.035855484587067
Vellore,Maize,2020,896.7854966925539,29.13953437577858,73.04519457205727,5.719239394701795,24.195876147687596,6.270663404411334
Erode,Rice,2018,521.2363477406052,31.794566537117845,63.91492663439354,7.170446680329297,38.29719909545401,6.1668798890862355
Trichy,Cotton,2025,496.2083066293716,34.257794683416606,57.91703789951841,6.229027254720009,10.485702835725036,3.6034782618913774
Madurai,Rice,2021,1130.6399675373373,32.98234027357024,74.52720797550529,6.1419949001777425,26.408685063297042,6.561680335521618
Coimbatore,Groundnut,2025,1148.9960445954423,22.446279957251864,48.919386125830215,6.025781670356059,47.726674456433294,6.214202377047248
Madurai,Groundnut,2023,930.7273076011808,26.99022819735194,76.32228320050409,6.91306861939366,26.401690075188466,6.623199953591208
Salem,Cotton,2024,1223.9266802950071,29.6022024047463,64.08201475931813,6.7151721564028986,32.65288131574752,7.838237269588403
Madurai,Cotton,2024,1114.1524622604015,26.418504649913817,68.0308515408715,6.718380788936905,37.64706609368692,7.547579699217911
Madurai,Cotton,2019,1020.9071823699303,33.70485358412917,62.74392128751629,6.167047662136126,37.652054324752356,5.914598756637284
Coimbatore,Maize,2020,622.172127816582,33.21400055296843,82.30882623521623,7.004662946934323,30.20731296569467,5.204545136603505
Chennai,Cotton,2021,1282.8571877580857,25.389023547972066,70.49010707424594,6.236355890437109,39.91745206888679,7.735908299800802
Tirunelveli,Rice,2021,984.0753580520683,27.480319936301683,64.78262013387852,6.749126851716183,48.016017920145856,8.600656357495097
Vellore,Rice,2018,753.5403063470945,25.60142676419316,64.50097104358255,6.602186715282515,25.445186496212905,5.694774032132134
Coimbatore,Cotton,2022,682.9324986736755,27.375588978860257,66.5184286533213,5.518060653906035,30.640066446551522,7.087075233076174
Madurai,Cotton,2019,914.1959453784642,27.278616482133174,91.96940176533779,8.120148813805594,34.0536526023157,6.777225078245269
Vellore,Groundnut,2023,432.2352287903863,31.05362532718995,54.82911643020365,7.102351380573355,41.29871371787854,5.980521193702305
Chennai,Maize,2023,1024.9183188382156,25.15691307605173,78.82882180965741,6.826144259986461,35.2980320890233,7.567979051955216
Vellore,Maize,2025,611.6072963264933,20.0,73.68105287089956,6.9366251256008695,33.85551016139636,3.640241385241063
Madurai,Cotton,2023,,22.865462136848578,83.39811752412076,8.136631109274932,21.055674498785994,4.983284273920664
Chennai,Rice,2020,719.5949156604602,24.709434839338464,74.29066795191522,7.495806505650615,24.802486367825345,6.341540101373361
Tirunelveli,Groundnut,2025,783.8953218188241,25.90178691520937,68.03363000366818,6.944134809514956,36.734093975564896,6.706022018922182
Trichy,Maize,2021,,28.598958081968682,78.2002762862038,6.204184039065783,30.375445337264722,6.883842126086019
Coimbatore,Rice,2020,809.6926422047997,,70.29768824349294,6.314621101346534,31.92113890353955,7.236804328397476
Chennai,Groundnut,2025,1322.3448865043385,24.124478111168216,75.54956030606311,5.437720535737135,34.44313762671193,7.201484842280572
Erode,Groundnut,2020,1196.26490676216,25.02576826351325,82.2821946381923,6.442202317532285,56.07514311089357,8.2973968861512
Trichy,Rice,2018,938.6197387488642,24.4299071962887,68.92519973822483,7.163286859332688,30.522671007807137,7.24183271201076
Chennai,Groundnut,2021,843.676433608762,26.225620018253935,63.756150183483854,7.143540228790757,47.48256691484858,7.382166939729977
Erode,Cotton,2024,1061.0502976732212,26.08868033313579,61.56188135750901,7.131302196988096,46.824501042175314,7.98643623543202
Trichy,Cotton,2019,1132.4925985268892,30.204981814316195,72.50540407596765,6.339245142594068,42.233842266174825,8.564545112896068
Vellore,Cotton,2021,642.5454044481177,24.833505967777207,59.21831591053983,7.085730507667624,27.37301548466134,5.969391684164939
Erode,Maize,2019,830.6402830919494,26.85569078934473,64.50195035719341,7.27692882785189,36.23462725798825,6.276622442212416
Trichy,Groundnut,2023,394.51044260797994,26.25592742426634,58.3243123829768,5.141132382590359,31.485586018871942,5.6255202662144885
Chennai,Groundnut,2021,1130.7755275652237,30.588431923320215,73.08339118418864,6.9130957256760155,53.12974497655862,8.058183642000431
Madurai,Cotton,2020,1366.256064425214,27.50630631674335,60.478442294210886,8.156735534200537,38.69587975603757,8.123445584515181
Coimbatore,Groundnut,2019,870.0206561557713,31.362229514877423,55.13267087619145,6.495974831310681,33.0813672198232,6.155569030411001
Tirunelveli,Cotton,2022,318.74746877424593,24.31241543678461,56.892245770811385,4.934726251391737,51.06428200877298,6.040545660212744
Coimbatore,Groundnut,2023,1002.2226291442578,27.842026853008576,62.289116390757016,6.131138803617981,31.827466531135265,7.051727765815401
Trichy,Cotton,2025,623.9777084627299,26.157148745504216,63.196991811032255,5.429822496204479,39.96447892385018,7.236258137946027
Tirunelveli,Maize,2021,684.162639583885,24.07665248676607,70.51452645553499,6.255948092311302,41.321714579798865,6.427754026073883
Chennai,Rice,2019,1006.6440974477509,27.783964668847815,66.38376711306861,5.843153813193656,38.12641292008639,7.84765038446091
Erode,Maize,2024,913.6385313781811,33.545368826352714,71.70310793757704,7.351598813194598,34.042342565218185,5.004804453636332
Tirunelveli,Maize,2023,727.9728061653495,25.270691830636373,72.50612524541724,7.244960363455727,42.53769316996981,6.838391648730608
Vellore,Cotton,2023,687.598591849584,27.592144058119146,75.40499511428536,6.940091250684943,29.33046860009363,7.51597939529159
Trichy,Groundnut,2018,881.4590138052082,23.800858817303837,48.921754231933726,7.558361970640145,45.02326156643595,5.743836511084996
Salem,Groundnut,2020,747.6336118719081,23.33047112990717,56.72776628650006,6.304234232635708,32.46727205828091,5.399401066432013
Madurai,Rice,2024,572.6907165992482,25.480792546102716,73.54886722954384,6.751485380271727,47.04015653891635,7.930157320963147
Trichy,Groundnut,2024,766.85920463041,26.560054362786623,70.11412341963229,8.236088275746518,44.41656618241164,5.746489772113612
Tirunelveli,Groundnut,2021,934.898155813796,26.70213426902032,77.76932953554521,7.109696865129723,39.943853735387115,7.444083957981949
Trichy,Cotton,2024,805.4741332950916,27.276719951746475,52.55982371481613,7.107957251741907,34.188197530467626,7.28993904957874
Erode,Maize,2024,496.6228504379537,22.725335549749218,63.248454270055504,6.162719636885502,44.924064328590056,5.301958282122281
Coimbatore,Groundnut,2021,1097.2661553438847,25.996972123177688,65.03620063565627,6.408398044225121,40.13985089878687,6.596567377163799
Erode,Rice,2025,200.0,29.60562711489176,69.66563787988602,5.997930380733086,10.0,4.853805826404773
Salem,Groundnut,2020,738.4087112428912,23.65361576673748,68.35877374535431,7.876638829299866,27.64058836567243,4.18538798516361
Coimbatore,Cotton,2019,694.950386361521,26.86353377649577,72.69077782017283,5.609252546332344,36.51865265508386,6.301196451763687
Madurai,Cotton,2023,887.0447194678537,28.937100031801815,66.85346038826818,7.339897280350169,37.51753932850629,7.82451713234493
Erode,Maize,2023,990.4154519506839,25.496745849524256,81.72336270954683,7.1067848179590705,41.364417824374705,7.384424320156813
Chennai,Maize,2019,1131.691202065259,29.09287806771471,84.91209278172164,5.5776455577970525,48.93961939057674,8.597779480703048
Tirunelveli,Rice,2024,671.8987816619599,23.1323959059679,56.82103246600653,7.499685118805028,40.27988787512267,6.295614908620453
Tirunelveli,Maize,2019,996.6455843333704,30.843038633383056,68.45111210263535,6.518910736118968,16.24090099850638,5.9263721446175035
Tirunelveli,Groundnut,2024,898.9545969703653,29.170562345899828,75.97994275307104,5.775378764238031,36.778812444476465,7.023643149877461
Tirunelveli,Cotton,2018,422.1151562041942,28.178129291230295,73.853279817093,6.955137643332748,45.94223248097217,6.195590640043287
Vellore,Rice,2024,1325.1350638585275,31.59941768417869,63.92156375664315,6.124261458657899,36.00429115618074,8.09389318775943
Vellore,Groundnut,2024,490.30621818995013,26.946083010442834,70.54864885246786,6.556545057092666,36.83103715188694,6.340227145960333
Salem,Rice,2024,954.8743180774287,26.02286044012188,52.16541685388867,6.345974950924158,30.55175100492573,7.256120035720493
Madurai,Maize,2023,947.4899860494369,32.392141709111186,67.80858121551915,6.084615348968698,43.54300343387313,5.836075555497049
Chennai,Cotton,2021,918.9091955822693,33.89045056715135,53.396962954979855,5.868117808823091,31.821410725503345,4.573725294147092
Chennai,Rice,2023,726.3557794595981,25.780999340423158,73.07978964032318,7.257784203634476,40.33570805978912,8.504051059576742
Erode,Rice,2020,1056.8131627851255,27.63602164125499,56.840420519009186,6.927413284678914,38.856898969551324,8.430097340259808
Madurai,Rice,2024,459.9081315142261,31.344136138436653,69.63033174768003,6.8824634419113275,35.48798229429329,6.142892408923881
Madurai,Maize,2022,833.5428028315192,27.74993599420553,71.19195590421563,6.445040958289581,39.35684341463047,7.782407504961255
Vellore,Cotton,2021,709.0313308618854,29.902683227961546,68.75863889093417,6.735907568395845,36.81505244423106,7.636394466281728
Madurai,Maize,2022,680.6755144832421,30.497291511962825,61.680471370682305,6.184762383310847,46.49579582221155,7.318953750794655
Madurai,Cotton,2022,957.1869468633864,26.20062535821906,65.89631749776379,6.172688637331615,41.09047512884119,7.519535253779045
Salem,Cotton,2018,1119.3696356799207,29.34167892288083,79.81071668209721,7.897167439871381,44.357502559171564,7.965627570216493
Madurai,Cotton,2019,764.1860595407835,27.980183377568203,63.7539160013842,7.319179663665768,28.124764312648352,7.219739491143188
Chennai,Maize,2019,1045.1702724814443,24.10602050113996,68.21430106945613,6.306983344830399,27.560428578578477,6.414848143358165
Erode,Cotton,2018,862.4351663611496,24.833111531429118,62.432111955411635,5.6526856104750465,35.56441423851114,7.181651267479598
Trichy,Rice,2021,626.8169476904978,25.91226584193162,,5.5092396828958865,41.745113606321674,7.134020820322962
Salem,Cotton,2023,785.5119766897341,30.971263522568336,68.77830775160253,6.2560770444744,39.78323254772255,7.28191466120289
Madurai,Maize,2023,775.1285273020962,31.07634611940265,60.36025991536359,6.775393047094784,28.238591850216334,6.664221613770758
Erode,Maize,2021,675.8350218736384,30.399721338629178,68.07125258531754,6.782857717641134,42.025059592361075,6.172087295631261
Trichy,Cotton,2024,957.1207321639585,29.408354250449978,65.58968118518519,6.803823699642437,29.34943850253109,7.374505569882251
Trichy,Rice,2022,908.6615469261898,29.321044182900607,81.92582110896545,6.9339554330855915,41.064657128585196,8.630324090798892
Tirunelveli,Rice,2018,452.3375754326455,28.888193438575456,67.55312493493966,5.973146840699149,37.57898139357903,6.419540641203015
Trichy,Groundnut,2024,437.11850119016054,29.30431057734923,54.17251111619176,7.75542605556197,32.973909489506525,5.225176729159629
Tirunelveli,Cotton,2022,956.1711133014386,29.52116026772545,72.98633236449527,6.561829533519327,30.176201137769162,7.945514059737079
Vellore,Cotton,2023,646.1783928013664,23.50584906967238,85.86087433365289,6.9063899113717415,36.198625002451315,6.78790698987777
Chennai,Cotton,2022,925.510288775081,25.471209132978437,79.9693088954625,6.240657298361985,35.747426755978594,5.772515050762237
Madurai,Maize,2022,1045.232894527297,24.707450801657462,56.970663412147466,6.91804250887439,25.580922228908285,7.113091174541462
Erode,Groundnut,2018,532.2617906486103,31.54286402449283,65.31271855674896,8.153880867426395,40.418661328640106,4.252366210269965
Madurai,Cotton,2022,497.11568635595376,33.29312033146756,67.69316822635216,6.007465417098223,45.410156562567764,5.339651383560173
Erode,Rice,2024,1268.6079205988237,21.05904665468104,67.81451141439308,5.919084039300514,42.74519298624281,5.517699286860106
Salem,Cotton,2020,937.8926957406147,33.007406757989315,71.80961857178839,6.094825279427698,37.83531572139077,6.057916033723116
Coimbatore,Cotton,2022,745.1898358316823,28.277508395300895,64.55898992347068,6.466791856295354,30.950572081599184,7.030604686347874
Trichy,Rice,2018,616.5148868384341,31.240703421307845,58.8437616941918,6.335019281489011,36.16047959226331,6.765324990927873
Coimbatore,Maize,2020,722.3897877731802,29.62069489467167,77.51800336508931,5.971537481405529,33.816845160075495,7.406311606921904
Salem,Maize,2021,552.3569159716724,32.60926417151975,56.76433917729905,6.665236379938707,36.11871070520924,4.686429950143644
Vellore,Cotton,2025,1070.8530435226476,28.671175786743987,59.97883458959072,7.792798598649195,43.42798892026968,8.376175417296741
Trichy,Maize,2019,655.8122115984198,23.636945731798665,56.702189809188724,6.595126833819278,34.02782270608293,5.440225438380179
Tirunelveli,Cotton,2020,1123.3836470540668,27.661840371925727,74.12212435452177,6.632492670812693,18.464026267132986,7.384631481486011
Salem,Maize,2021,749.8427700574972,29.65009934754178,69.06471309414832,6.940059988175326,42.195924413265914,7.860354188375353
Vellore,Maize,2025,589.1624540956714,27.308924475090052,76.83503619704649,7.153365341892043,38.57486027149461,7.184132971077777
Trichy,Maize,2024,743.4246029965497,30.104741510888545,60.14806583743895,7.661259581753029,36.34922748205285,5.76251808088812
Vellore,Cotton,2018,200.0,27.789768356350578,55.46986882965018,6.868028971326247,24.430615671889406,5.417947404534256
Tirunelveli,Maize,2019,819.8078558314983,26.094370178832417,63.56099044529773,6.698140506817787,27.509143794613784,6.292931134965458
Tirunelveli,Maize,2024,807.4702022174604,24.52486917340307,66.17502713239422,6.005927198871508,28.561514667129952,5.9236805140646975
Chennai,Groundnut,2018,1056.185686636992,26.746190775893297,70.09096307770065,7.217972905637088,29.7466785852463,7.011936167208142
Madurai,Cotton,2024,378.42376800415514,28.654629279041046,51.17608366712277,6.1088385157701275,30.588964855349833,6.13924000981095
Tirunelveli,Groundnut,2020,1140.466590215887,21.729946226380957,72.78730863283675,6.087150602559861,24.364542393325365,4.440484096426791
Vellore,Rice,2025,1055.149823749414,25.503755485711924,59.05761261710484,6.835193946173795,54.36487446636288,8.28699507814745
Trichy,Cotton,2020,1163.0108909246655,21.610585456721925,61.52584349882502,7.779067534026631,48.51883319618095,5.862531836144876
Erode,Cotton,2021,836.8196559989657,26.02536046727027,79.73709531141418,7.20851989413801,37.494479548376475,7.522023187610908
Chennai,Groundnut,2023,1103.474208525689,31.831407149719116,46.16803154546801,6.673726944398245,34.69708351356625,6.364714082410266
Trichy,Groundnut,2019,482.1889912732737,24.204427578467726,71.22502027166952,6.012887195470885,51.43877859464475,6.2605324824203725
Chennai,Cotton,2022,1028.2618913011333,30.250111186756254,71.18728630067484,7.765479289745677,49.61388507279927,7.986463741111
Erode,Groundnut,2022,657.2093094750137,37.116240407399424,59.81215023149243,6.660394126680563,28.340743362791827,1.8559040694352917
Trichy,Maize,2024,437.14954189426595,32.65132202002352,63.52995679083978,6.496855656430822,37.22908800920646,5.234568976084845
Erode,Maize,2025,568.9648704589099,28.427242817251877,80.21046802151284,7.08861686223724,33.3583591704069,6.127269272298142
Erode,Rice,2023,851.3827846573176,30.746990258548745,87.62923543971027,6.386364492682642,32.57582894840542,7.263406475177209
Tirunelveli,Rice,2021,643.9251979455992,23.617015032202268,78.64725866884456,6.172897328947115,33.510759082751356,5.925751308048229
Trichy,Groundnut,2021,944.01838292395,22.965073109086227,86.8587166776047,6.240034262728769,34.228990348541146,6.226301053935723
Vellore,Cotton,2021,397.94061124899565,28.09183394905406,61.086680753324515,6.23816617725866,36.89662746389974,6.744204397901761
Salem,Cotton,2024,318.22561409603463,29.275553803098916,52.19915933540487,5.910843050114685,36.947607270144246,5.881222658677632
Erode,Cotton,2020,1193.096858535894,31.50209370959757,67.47378491527041,5.83275420002621,47.94362475356036,7.867953564005063
Coimbatore,Maize,2019,1075.9500323503587,26.17996114751579,76.04858636105672,7.380420868496129,27.73799316270378,6.574205772665326
Salem,Groundnut,2020,587.6757910215481,28.618865549957267,49.45249893883087,7.168188791381597,43.702275960967285,6.17998084592599
Trichy,Cotton,2018,849.2500891323651,28.509156980969518,58.735431506735324,6.124041498221169,25.324896365454002,5.759647795446321
Tirunelveli,Rice,2018,1104.876765050331,27.579538862155307,59.846049069871256,7.321881651074646,37.131605977124664,8.533263480377862
Tirunelveli,Groundnut,2018,954.8001520726514,27.768080396371197,71.56563562387021,6.916518941043532,44.390148352792764,8.50462884574429
Coimbatore,Maize,2024,887.0557740458696,25.264945591553406,70.27619563749586,6.473344450452942,40.121265807974936,6.838464959702764
Salem,Maize,2023,1123.7885203281494,28.89506370683188,60.24839226495655,5.841918537075082,32.152651737092754,7.547036472532254
Chennai,Groundnut,2023,667.3218811996949,28.62415993662425,69.79811197690793,6.939012968197268,37.563163512699674,6.776443295998086
Erode,Maize,2021,857.7946121661572,26.591962348940687,56.55194815236665,8.005766382598619,49.870602121144586,6.6838425980286065
Chennai,Groundnut,2023,845.5378404269021,30.130477651275417,63.73575187384354,6.710200077744266,29.674698693942613,6.354805534201711
Chennai,Groundnut,2019,781.8094880822393,31.28906108298335,55.352107473092836,7.399057083616995,40.09897838882223,6.315200301201075
Erode,Groundnut,2025,752.5486221448119,30.16760414712148,66.49762172205186,6.551797498212729,43.68578375656759,6.796258341536028
Salem,Groundnut,2022,868.2170594571227,24.664181375805683,59.99510741142643,7.345284454018777,31.507778548282758,6.072627443252322
Madurai,Maize,2025,858.6018739963819,28.318866453958375,74.90375020068575,6.594851890613581,50.61833773877947,7.718459643923678
Vellore,Rice,2019,587.8930893663685,25.08341899883695,67.73812929275735,5.0162705030612,53.65903362150315,6.438895306989639
Vellore,Maize,2021,1050.4489774751119,28.308975188159465,65.73257248217507,6.194785362702709,44.84627253461626,8.22239435266455
Vellore,Groundnut,2023,,25.095882569536275,85.68124368994606,6.792582543204404,44.86538574603714,7.258210615888262
Vellore,Maize,2021,795.4416388632065,32.08692267953531,71.83288177018638,7.457837093619747,19.441678670476254,4.667957514512189
Trichy,Rice,2021,776.1798818199871,30.506660700863495,64.31845916368071,6.592550240356427,23.111685733707738,5.771701473958611
Tirunelveli,Groundnut,2019,939.5259031648039,31.689565777095645,62.16264652913917,6.7208707475106255,34.24000084434299,5.715985676118104
Trichy,Groundnut,2021,320.2240149456668,31.365510688625587,56.1882739406875,6.288911962769882,29.080220372046327,4.54463374931405
Erode,Cotton,2019,1072.7274537323647,27.134080922964273,67.3411611454521,7.792648558907124,40.63290105401615,7.716083833079675
Madurai,Cotton,2020,680.752413096959,26.63804882071224,71.07613542376636,7.750482664708627,10.0,5.9571385761924285
Trichy,Groundnut,2023,1154.9908236942636,33.57351625184049,48.85624007499069,6.226628972821262,40.57466386772769,5.831130206593181
Coimbatore,Rice,2023,730.4587688709614,27.471617119448272,54.36016473021571,5.638512537472041,33.41833100206135,6.948406252727877
Vellore,Cotton,2022,837.7891035664974,23.665341944089604,62.838972107331365,5.434961342587497,30.123824113413814,6.402540058543458
Erode,Maize,2020,1328.446510017106,31.22389354773064,57.01819284106447,7.1223859684944175,52.15935457166427,7.711998987575266
Erode,Groundnut,2025,780.6654478015829,28.460082138443905,68.4325748602594,6.794654647524084,32.227399923006026,7.061627610376316
Vellore,Cotton,2018,1159.7124711683646,32.81902119673274,69.82152042906885,6.152743821896129,20.449131450122778,7.16707318433573
Erode,Groundnut,2020,859.76127139114,28.777502969538716,66.77692632067003,6.890289195953955,39.1126496231831,6.36022019717708
Chennai,Maize,2018,953.8547075733724,27.935995240490517,73.5017432138416,5.838772586104983,38.43955084294003,6.614759354899256
Madurai,Cotton,2020,867.4896473528436,32.883586588079005,62.15087722432081,7.25644624644525,33.43456265917177,6.040572341568023
Tirunelveli,Maize,2025,,23.07690769588164,67.5409513953946,6.43238308379071,56.16162966343136,7.357621701547245
Erode,Groundnut,2020,678.6170967867372,26.126840625270376,57.96686415164653,5.942978650852094,36.89089156090066,6.199902079488949
Tirunelveli,Groundnut,2025,603.9878692452037,25.160438490063335,70.84619707292516,6.443089710376294,44.13311962104668,5.311624853144467
Chennai,Cotton,2021,690.3559524057446,20.97574470856549,68.75908155486329,6.418967240864893,37.907609956898646,3.6836695169155442
Madurai,Cotton,2023,874.9275940810228,30.79416456965313,56.014650115548164,6.955540857882041,46.43509857506436,7.052468154914628
Erode,Rice,2021,794.7953036124177,26.216261075254597,66.44940624795245,7.516198305372051,32.02210675757522,7.3588942946655544
Chennai,Cotton,2020,1027.5687191177942,30.89717773326904,67.62178126732971,7.479893758988929,25.429235724214468,6.731467628372988
Chennai,Groundnut,2024,1176.18292495538,29.245076771950732,70.81011903220121,6.8117420623703,41.8916518035635,7.912040988553685
Coimbatore,Maize,2025,606.0404156912479,29.942855893208588,71.1811850657115,6.56896654334219,37.693437177322224,6.679404756548283
Erode,Groundnut,2020,666.5128020965169,26.542721661309926,60.788140610563225,6.301949502591859,42.15700104955568,6.944975146237635
Tirunelveli,Cotton,2024,490.9401454217865,25.554405939247843,75.63644657932714,5.462386075273158,29.449600109993963,5.391412466783481
Tirunelveli,Groundnut,2020,,28.287234800703107,73.23055678839258,6.686550447543094,39.321705402638585,8.27683195690014
Salem,Rice,2023,926.1673747804567,30.94133818658614,60.75420409794525,6.1042919760323615,20.651526318690188,7.397138000373363
Erode,Maize,2024,969.9505800128944,27.838777582452025,56.57302954985629,7.552837108335925,30.681928192108415,6.698785244024831
Coimbatore,Rice,2021,514.9479037422379,25.753803767576663,61.51848354705756,6.559495441661859,28.658087375214556,6.110987270667311
Erode,Maize,2023,849.7075027482813,24.163142107525253,53.283520523693525,7.2229601954693035,39.46364246261964,6.3698959159488835
Tirunelveli,Groundnut,2020,977.3119961032713,28.653321649036247,70.0800651207418,6.362240962940548,30.642046855722413,6.543759295180954
Erode,Rice,2018,786.8105773663938,26.22698388822868,79.83559923075822,6.227162274652434,22.644555637174495,6.544491243778847
Madurai,Cotton,2018,1118.9264062065986,27.77043012035283,82.21546057925949,7.123353187230336,29.885819871000468,7.802853777711549
Coimbatore,Cotton,2021,1427.9577814107074,27.23590789680429,57.10658582323774,6.894343778755708,40.38639750085026,8.59157681704129
Tirunelveli,Rice,2025,613.234293226512,26.577820881009455,75.86804260380259,6.925545084588727,36.179749733630715,7.543584277007933
Vellore,Maize,2019,594.4781885058258,28.94017139443044,68.84500877875185,6.634354521256218,28.294251528815217,5.971378718078868
Vellore,Maize,2021,630.5609836178559,29.774413069261144,44.04059653899935,7.252573061528544,42.55292463842371,6.490658686480132
Chennai,Rice,2023,1251.5497900041228,34.28889262288251,64.67602851347733,7.151341008346723,49.08866292320413,7.391138490584293
Salem,Rice,2019,1110.5888292574211,30.42549668699044,63.56316936806704,5.17622590106723,43.179451623211506,8.304495273163191
Trichy,Groundnut,2023,816.1180455515879,33.09978345431725,80.10817895974704,6.519782661143692,14.232547705190257,4.769036103057147
Vellore,Maize,2020,859.1399161002186,25.380478811514443,59.290454910209434,7.410318543247326,37.13439470007945,6.818086038070389
Chennai,Rice,2024,645.8640934508196,22.876976733673523,73.63064347192265,5.986325506144752,33.72349127672527,5.34225885837585
